clip,naive,lr,avg_reward
True,False,0.2020999999999999,-602964.0
True,False,0.2323999999999999,-514399.0
False,False,0.2020999999999999,-859790.0
True,False,0.2323999999999999,-513412.0
True,True,0.3132,-713658.5
True,False,0.3132,-772947.5
False,False,0.2020999999999999,-904322.5
True,True,0.3031,-740484.5
True,False,0.2020999999999999,-562377.5
True,True,0.2020999999999999,-704562.0
False,False,0.2020999999999999,-877508.0
True,False,0.2121999999999999,-599029.0
True,True,0.2323999999999999,-728546.0
False,False,0.3132,-762618.0
True,True,0.3132,-704806.5
True,True,0.2323999999999999,-735084.0
False,False,0.3031,-778742.5
True,False,0.2121999999999999,-580332.5
True,True,0.2020999999999999,-737296.0
False,False,0.2020999999999999,-866559.5
True,False,0.2121999999999999,-514643.0
True,False,0.3233,-632971.0
True,True,0.2121999999999999,-749087.5
False,False,0.2323999999999999,-830640.5
False,False,0.2323999999999999,-849707.0
False,False,0.3132,-785734.5
True,True,0.2121999999999999,-712187.5
False,False,0.2020999999999999,-884152.0
True,False,0.3132,-614036.5
True,False,0.2121999999999999,-577641.0
True,True,0.2121999999999999,-730894.0
True,True,0.3233,-708018.0
True,False,0.2425,-548840.0
True,False,0.2425,-514889.0
False,False,0.2121999999999999,-860699.0
True,False,0.3233,-604954.0
False,False,0.2121999999999999,-854876.0
True,False,0.2121999999999999,-596814.0
True,True,0.3132,-694723.0
True,True,0.2121999999999999,-726208.5
False,False,0.2121999999999999,-884644.5
False,False,0.3233,-782547.5
True,False,0.9798,-993980.0
True,True,0.9596,-965946.5
True,True,0.9495,-985739.0
False,False,0.9394,-976721.5
True,True,0.9495,-991769.5
True,True,0.9394,-976279.0
True,True,0.9798,-992288.5
True,True,0.9394,-985858.0
False,False,0.9495,-985752.5
False,False,0.9596,-993233.0
True,False,0.9495,-639334.0
False,False,0.9495,-983574.5
False,False,0.9394,-986618.5
False,False,0.9798,-988817.5
False,False,0.9394,-985863.5
True,False,0.9596,-994470.0
True,False,0.9697,-993237.0
True,True,0.9495,-977376.5
True,False,0.9596,-994098.5
True,False,0.9495,-989501.0
True,False,0.9899,-980828.5
True,False,0.9495,-991385.0
True,True,0.9596,-983016.5
True,True,0.9697,-994349.0
False,False,0.9495,-988446.0
True,True,0.9596,-989553.5
True,True,0.9495,-993481.5
True,True,0.9899,-985653.0
True,True,0.9495,-993610.5
False,False,0.9596,-987135.0
False,False,0.9697,-986231.5
True,False,0.9596,-989547.0
False,False,0.9596,-981728.0
False,False,0.9495,-986730.0
False,False,0.9899,-994836.5
False,False,0.9495,-979838.5
True,False,0.9697,-988929.5
True,False,0.9798,-997910.0
True,True,0.9596,-988580.0
True,False,0.9697,-895348.0
